timestamp,x,y,z,qx,qy,qz,qw
000000,3.7815e-13,-4.20626e-13,7.93232e-13,1.0,-4.79171e-15,1.13383e-14,-1.44723e-15
000001,-0.043191575,0.06711761,0.0076079573,0.999999,-0.00039451465,0.00021594651,-0.0013414508
000002,0.91257286,0.087133415,0.011392537,0.99999493,-0.0011659242,-0.001995716,-0.002189559
000003,1.8397412,0.077229686,0.012526752,0.9999932,0.0011251208,-0.002479571,-0.002496102
000004,2.7356505,0.045142367,0.03679076,0.99998593,0.004642315,9.27055e-05,-0.002566309
000005,3.682528,0.060379304,0.05300303,0.99999326,0.001969274,0.0026632743,-0.0015894523
000006,4.649642,0.0916569,0.06424098,0.99999267,0.0024813279,0.0025568344,-0.0014213506
000007,5.5158467,0.09388443,0.07268599,0.99998814,0.0043973876,0.0017128253,-0.0012455302
000008,6.433818,0.085780956,0.07056972,0.9999806,0.0062037725,-0.00020969483,-0.00050401094
000009,7.372524,0.10269467,0.05055049,0.9999738,0.0070514153,-0.0014544514,-0.0007730638
000010,8.390677,0.100024685,0.08082855,0.99998456,0.0055514406,7.0224436e-05,0.00029315788
000011,9.272592,0.14521696,0.10955179,0.9999788,0.0061729806,0.0020862943,-0.00018008276
000012,10.127683,0.15021096,0.07930702,0.9999888,0.0044593443,0.0014146513,0.00070561713
000013,10.986456,0.12129731,0.0987861,0.9999795,0.0058931266,0.0019721556,0.0015395555
000014,11.806613,0.18242984,0.12064652,0.9999832,0.0050202566,0.0025865892,0.001341266
000015,12.920743,0.14212923,0.1466206,0.99996066,0.008156583,0.0024792694,0.002446697
000016,13.87507,0.117271416,0.15802132,0.9999514,0.0091373315,0.001872462,0.0031832294
000017,14.769602,0.19753416,0.17014393,0.9999615,0.008355348,0.001270555,0.0023656099
000018,15.609318,0.16645071,0.17083578,0.9999533,0.008506084,0.0009176638,0.00449118
000019,16.388279,0.20360348,0.17895733,0.99996275,0.0070668072,0.00022708996,0.004958044
000020,17.45768,0.16849177,0.17992328,0.99995,0.0073152836,0.00050143286,0.0067978455
000021,18.341463,0.18175243,0.17435694,0.9999428,0.0075614876,0.00043390982,0.0075598857
000022,19.279072,0.2343578,0.17464364,0.9999521,0.0060789566,0.00077694096,0.007637159
000023,20.166872,0.22600901,0.17744462,0.99994063,0.005891598,0.0009284148,0.009124569
000024,21.063782,0.2323199,0.20524381,0.99991584,0.008488167,0.0013839619,0.009714255
000025,21.979164,0.26946995,0.20920937,0.9999207,0.007901306,0.0007821853,0.00977779
000026,22.842196,0.2818148,0.22788809,0.9999042,0.008553768,0.0013207317,0.010800819
000027,23.708347,0.30495986,0.25728118,0.9998961,0.00906659,0.003124422,0.010764369
000028,24.514902,0.3449031,0.2567006,0.9998937,0.009020565,0.0040061017,0.010731111
000029,25.254517,0.3850751,0.26901594,0.99987406,0.01066013,0.0050925077,0.010596129
000030,26.159515,0.35771483,0.295937,0.99986154,0.009433609,0.0049844487,0.012772159
000031,26.839024,0.42777428,0.27989003,0.9998728,0.00937145,0.0029945557,0.012556468
000032,27.475443,0.5020943,0.28084603,0.99987775,0.009039474,0.0021955485,0.012568377
000033,28.513561,0.47268718,0.29481587,0.99986917,0.008726175,0.0022223694,0.01344023
000034,29.336452,0.47394195,0.30392823,0.9998561,0.008669088,0.0016782864,0.014484998
000035,30.27355,0.46015432,0.2885209,0.9998257,0.0081473775,0.0008197272,0.016776863
000036,30.984455,0.51544154,0.29894596,0.9998238,0.0075925286,0.0003508834,0.017164715
000037,31.77351,0.5157572,0.29950148,0.9997865,0.008985588,0.0011560833,0.018571084
000038,32.382755,0.58074903,0.3347445,0.9997836,0.009367496,0.0026829825,0.018382184
000039,33.150753,0.6240455,0.33117086,0.9997746,0.007964963,0.003226106,0.019416332
000040,33.76749,0.697717,0.34247434,0.99977446,0.0070252274,0.0031850862,0.01978651
000041,34.492115,0.7166765,0.35330155,0.99975234,0.0060688113,0.0031066108,0.021185474
000042,35.251904,0.7387574,0.36600274,0.99970484,0.008160425,0.0028818606,0.022703873
000043,35.99481,0.653845,0.3234443,0.99962914,0.0069964565,0.0020194983,0.026241213
000044,36.708504,0.69544464,0.35498253,0.9996363,0.004953274,0.004013428,0.026203318
000045,37.25771,0.798471,0.35493514,0.99968594,0.004493875,0.0034431093,0.024412867
000046,38.01475,0.8368904,0.38702297,0.9997242,0.0017123438,0.0036167374,0.02314318
000047,38.664085,0.80108374,0.34593773,0.9997031,-0.0014602086,0.0015092676,0.024277043
000048,39.38066,0.82309175,0.35575074,0.9997367,0.00096714456,0.00065105886,0.0229163
000049,40.09725,0.7482256,0.33758324,0.9997252,-0.0006988676,7.9565114e-05,0.023431648
000050,40.767494,0.79958045,0.32125866,0.99976015,-0.0016691444,0.0007845523,0.021825
000051,41.331768,0.9106652,0.32205868,0.9998131,-0.0053209383,0.0025760056,0.018408295
000052,41.88891,0.97477525,0.29487026,0.9998321,-0.008141625,0.0023822812,0.01624601
000053,42.51691,0.9051876,0.30155426,0.9998478,-0.0075666006,0.0026156197,0.015500203
000054,42.9427,0.9415465,0.29910526,0.9998719,-0.010597196,0.003462287,0.011487591
000055,43.33167,1.1761768,0.2946903,0.9999045,-0.012187675,0.0042810254,0.004912394
000056,44.014633,1.2417176,0.29055575,0.9999191,-0.012049439,0.004065519,0.00023560796
000057,44.694427,1.14939,0.27240974,0.9999204,-0.01198259,0.003523034,-0.0017719324
000058,44.827267,0.8915541,0.30613798,0.9998963,-0.013859962,0.0033842376,-0.001982347
000059,45.247913,1.0028094,0.3123501,0.9998335,-0.016320212,0.0025424394,-0.0077541214
000060,45.768612,1.0478339,0.26219296,0.9998028,-0.015868526,0.000100584395,-0.011935604
000061,46.317722,1.0167121,0.29287446,0.99969596,-0.01939452,0.0006381151,-0.015213457
000062,46.86098,1.2439781,0.24661702,0.99956435,-0.018171746,0.00034713972,-0.023256771
000063,47.506577,1.3402767,0.27725202,0.9994134,-0.019971421,0.0012123549,-0.027795829
000064,47.815968,1.3555727,0.30085975,0.99923843,-0.020286089,0.0014263989,-0.033302683
000065,48.182713,1.4002407,0.27946404,0.99897337,-0.023832897,0.0012985963,-0.03850393
000066,48.55521,0.8204257,0.35559323,0.9989295,-0.029414661,0.0027668283,-0.035595175
000067,48.71402,1.0341867,0.3832217,0.99864084,-0.027944762,0.0031333154,-0.043883983
000068,49.383892,1.6134948,0.23559068,0.99801296,-0.026657628,0.00086505956,-0.057085637
000069,48.986828,0.60056245,0.28384236,0.99844885,-0.026939001,-0.0007685296,-0.048719916
000070,49.4415,0.8184134,0.30304012,0.9978476,-0.027789151,-0.0022524453,-0.059353802
000071,49.508823,0.82238156,0.31429932,0.997319,-0.02748775,-0.0030414143,-0.06775022
000072,49.41906,0.5963401,0.33272636,0.99682856,-0.030196918,-0.0028395161,-0.073572375
000073,49.979637,0.7982539,0.2727583,0.9958905,-0.028350579,-0.0042607165,-0.08590852
000074,50.939415,1.3029822,0.30748636,0.99425274,-0.028431494,-0.0033947825,-0.10315823
000075,50.891224,0.76344126,0.42843083,0.9939639,-0.027717307,-0.0022349001,-0.10612552
000076,50.723907,0.5284176,0.5244017,0.9930683,-0.028208546,-0.000720602,-0.11410142
000077,50.789326,0.32097563,0.51434493,0.99198544,-0.02936,-0.0015778354,-0.12288386
000078,51.081524,0.3160572,0.45902458,0.9903226,-0.028540904,-0.0033134117,-0.13577805
000079,51.48821,0.34578183,0.49616438,0.988264,-0.029185697,-0.0025222402,-0.1499203
000080,51.446922,0.0025443733,0.51960796,0.9868349,-0.03131294,-0.0021734913,-0.15865578
000081,51.890137,0.20308407,0.51702183,0.9834742,-0.03276652,-0.0017991745,-0.17804942
000082,52.088978,-0.077957705,0.51268303,0.9811068,-0.033815596,-0.0019483314,-0.19047879
000083,52.37624,-0.18336621,0.55768293,0.97771084,-0.032004233,-0.002314318,-0.20748968
000084,52.519417,-0.2630123,0.54935926,0.97400826,-0.030820642,-0.003456337,-0.22437921
000085,52.832737,-0.44326863,0.54006356,0.9696348,-0.027629994,-0.0055493135,-0.24292849
000086,53.098362,-0.6103776,0.573385,0.96437526,-0.029103423,-0.00658051,-0.26284996
000087,53.35651,-0.81289184,0.5477535,0.9589191,-0.02755667,-0.0086966455,-0.28220406
000088,53.597492,-1.0272502,0.57671463,0.952493,-0.030343696,-0.00888086,-0.30291498
000089,53.76935,-1.3821409,0.55981106,0.9461494,-0.03237388,-0.009411463,-0.32197
000090,54.10723,-1.5993592,0.5625934,0.9378351,-0.035759054,-0.008925196,-0.34511894
000091,54.26839,-1.6969522,0.57704985,0.92853343,-0.036399703,-0.008694267,-0.36935785
000092,54.527237,-1.8880738,0.59617454,0.91824186,-0.034990866,-0.00861053,-0.3943772
000093,54.77526,-2.0559886,0.6170912,0.9068269,-0.033548545,-0.008619991,-0.4200776
000094,54.984222,-2.4341085,0.60502774,0.89570016,-0.033080067,-0.009405761,-0.4433266
